site_id,zone,SP,SubRegion,Elevation_m,elevation_relative,az_size_class,median_peak_doy_1984,median_peak_doy_2024,low_peak_doy_1984,low_peak_doy_2024,high_peak_doy_1984,high_peak_doy_2024,median_peak_ndvi_1984,median_peak_ndvi_2024,low_peak_ndvi_1984,low_peak_ndvi_2024,high_peak_ndvi_1984,high_peak_ndvi_2024,median_seasonal_mean_ndvi_1984,median_seasonal_mean_ndvi_2024,low_seasonal_mean_ndvi_1984,low_seasonal_mean_ndvi_2024,high_seasonal_mean_ndvi_1984,high_seasonal_mean_ndvi_2024,peak_doy_change,peak_ndvi_change,seasonal_mean_ndvi_change,peak_doy_significant,peak_ndvi_significant,seasonal_mean_ndvi_significant
NH_FRA,USAZ,NH,White Mountains,1598,36.799999999999955,Small,206,197,196.475,191,220.04999999999998,203.52499999999998,0.3447762590089221,0.3454362232846189,0.32255757321472434,0.335681123065624,0.3586721427708358,0.3531987811199192,0.3115300363347756,0.3151994885173431,0.30032105206270676,0.308922781901518,0.3238663497730187,0.321116521932674,-9,6.599642756968116e-4,0.0036694521825674786,FALSE,FALSE,FALSE
NH_GUY,AZ,NH,White Mountains,1397,-164.20000000000005,Small,196,199,160.55,190.47500000000002,203.04999999999998,207.04999999999998,0.29203522082016564,0.32118700499665687,0.27605915107965684,0.30904790644618385,0.3027298604020455,0.3403098923575829,0.2711410774054501,0.2920476488181604,0.26116212938474076,0.2855746855237752,0.2774733965719398,0.30117400968546915,3,0.029151784176491224,0.020906571412710295,FALSE,TRUE,TRUE
NH_GUY,USAZ,NH,White Mountains,1397,-164.20000000000005,Small,202,197,194,188.47500000000002,217.52499999999998,208.52499999999998,0.33730222160221784,0.3339266997138595,0.31919730049149225,0.3247982962689061,0.3490804307516323,0.34453987079561743,0.31411516283835605,0.31178788495496007,0.3042945243876102,0.30760813402640425,0.3211527547277976,0.31793915394810734,-5,-0.003375521888358324,-0.002327277883395984,FALSE,FALSE,FALSE
NH_MOO,AZ,NH,White Mountains,1463,-98.20000000000005,Small,205,200,199,194.475,226,209,0.33554199200987217,0.35520658599204036,0.3042513391934772,0.3454674304170492,0.35812168066822714,0.3641140502658482,0.306880396308718,0.3167943472944816,0.29198679793954363,0.30872924224831977,0.320104806435497,0.32524960466983066,-5,0.019664593982168188,0.009913950985763587,FALSE,FALSE,FALSE
NH_MOO,USAZ,NH,White Mountains,1463,-98.20000000000005,Small,209,194,152,190.47500000000002,227.575,201.52499999999998,0.33522315585597606,0.3301713013258133,0.31852314327321213,0.31834560291917974,0.36180675959920705,0.33923560589676394,0.3155097196355801,0.2920620688652641,0.301894285024756,0.2845553289554065,0.32880970150737504,0.3015813107912577,-15,-0.005051854530162769,-0.02344765077031602,FALSE,FALSE,TRUE
NH_PRE,AZ,NH,White Mountains,1917,355.79999999999995,Large,210,197,167.675,194,228.04999999999998,201,0.2832831316798743,0.3213289374963185,0.2646002584565258,0.3050300366817264,0.290982259979632,0.33574621396035076,0.26201219006825655,0.28629360154341243,0.25289502336747743,0.2789061076905063,0.2680483069727623,0.29186759178183264,-13,0.038045805816444234,0.02428141147515589,FALSE,TRUE,TRUE
NH_PRE,USAZ,NH,White Mountains,1917,355.79999999999995,Large,208,194,200,191,219.04999999999998,199.52499999999998,0.3741661741499255,0.3707185151693675,0.3482093799507682,0.36084821172745296,0.38660194256641583,0.38145716107930666,0.3380666560496641,0.33338223792652666,0.32473837620669027,0.32798123780838717,0.3471100089478021,0.33872503866353976,-14,-0.0034476589805579883,-0.004684418123137468,TRUE,FALSE,FALSE
NY_ALG,AZ,NY,Adirondack Mountains,1559,22.200000000000045,Medium,205,201,198.47500000000002,195,216,207.04999999999998,0.3115152072223757,0.3367212316660527,0.29901663078651597,0.31983739809115275,0.32883986778979535,0.3473716648916552,0.2850194700401276,0.29934966798550244,0.268861276889932,0.29143218217933653,0.29591485445502225,0.3082136152247097,-4,0.025206024443677033,0.014330197945374823,FALSE,FALSE,FALSE
NY_ALG,USAZ,NY,Adirondack Mountains,1559,22.200000000000045,Medium,202,200,187.95,194,210.04999999999998,206,0.3182962605463782,0.33874963535208513,0.30341318519880645,0.3262990062714773,0.32949396850611934,0.3503141269445831,0.29645110236957417,0.30112431894665637,0.28742405503394547,0.29477785749904495,0.30279479646318697,0.3097682373379739,-2,0.020453374805706914,0.004673216577082195,FALSE,FALSE,FALSE
NY_HAY,AZ,NY,Adirondack Mountains,1512,-24.799999999999955,Small,210,203,197.475,194.425,229,209.04999999999998,0.309286694288118,0.352583732256071,0.2975775389515186,0.33857044920445917,0.32788145569929517,0.36516102547510176,0.29212526759262936,0.3176486441535378,0.27646963358070564,0.307306288634648,0.3023168837394924,0.32772841495621075,-7,0.04329703796795298,0.025523376560908417,FALSE,TRUE,TRUE
NY_HAY,USAZ,NY,Adirondack Mountains,1512,-24.799999999999955,Small,206,199,168.625,152,220.52499999999998,210.52499999999998,0.3150788769236908,0.3674035916626323,0.3060352833951292,0.34995554596574374,0.33201881318542104,0.40245419630587576,0.30022720552176585,0.33478642372425077,0.29011326707109997,0.3244438911797511,0.3102233436468944,0.34958947994741785,-7,0.052324714738941513,0.03455921820248492,FALSE,TRUE,TRUE
NY_MAR,AZ,NY,Adirondack Mountains,1629,92.20000000000005,Small,206,205,200,195.95,215.62499999999994,210.52499999999998,0.31325785462636957,0.3459925167725917,0.2919877726269816,0.32733546756282966,0.32539936855035334,0.35877559484510013,0.28382689883379636,0.30140958495025993,0.2753921194992218,0.28674896297734453,0.29306011716440866,0.316472495285915,-1,0.032734662146222115,0.017582686116463575,FALSE,TRUE,FALSE
NY_MAR,USAZ,NY,Adirondack Mountains,1629,92.20000000000005,Small,204,209,196.475,191.8,223.52499999999998,221,0.3301251678485951,0.3385040542282215,0.3016541928652656,0.3222591222413673,0.3434254823275625,0.3679402293565812,0.3012993438542727,0.2995119923572751,0.28843625534214523,0.2860394675080398,0.3102471263892822,0.3191595103007202,5,0.008378886379626416,-0.0017873514969976023,FALSE,FALSE,FALSE
NY_SKY,AZ,NY,Adirondack Mountains,1501,-35.799999999999955,Small,205.5,203,199.475,152,222.04999999999998,217.52499999999998,0.33716427174716695,0.37247551632587117,0.31657912443520264,0.3394181325198572,0.35853810613736325,0.39685917782804814,0.3103379474458495,0.335834993272237,0.29997843585527145,0.31447429679664524,0.3195797792960634,0.35346574576158024,-2.5,0.035311244578704215,0.025497045826387454,FALSE,FALSE,FALSE
NY_SKY,USAZ,NY,Adirondack Mountains,1501,-35.799999999999955,Small,205,204,199,197.475,212.52499999999998,214,0.32846259247626197,0.3659672426584681,0.31549704869546635,0.3416223370212176,0.3359807469005338,0.3790732438160266,0.3046696265207387,0.32803896067253735,0.29912118344203925,0.31434140903333363,0.312460701022878,0.34312355316727017,-1,0.03750465018220611,0.02336933415179865,FALSE,TRUE,TRUE
NY_WHF,AZ,NY,Adirondack Mountains,1483,-53.799999999999955,Small,207,200,196.475,193.47500000000002,222.04999999999998,204,0.28596704692932584,0.3151870167555344,0.2781891527814143,0.3059156116432156,0.29424112694629845,0.32604515005928786,0.26637427680890746,0.2850463383666533,0.2596580826091024,0.2784065494650843,0.2728407828248385,0.29205813249915985,-7,0.02921996982620856,0.01867206155774581,FALSE,TRUE,TRUE
