site_id,zone,year,n_train,n_test,rmse,mae
ME_ABR,USAZ,2003,104,3,0.01579177526221709,0.013672876268912929
ME_ABR,USAZ,2004,105,2,0.002905163127599277,0.0028080468302342787
ME_ABR,USAZ,2005,102,5,0.012300456103081931,0.012226463573384628
ME_ABR,USAZ,2006,105,2,0.036962086652190196,0.03684064425801137
ME_ABR,USAZ,2007,105,2,0.001656881688028152,0.0016536631140966762
ME_ABR,USAZ,2008,103,4,0.006540527071331312,0.005018710854611919
ME_ABR,USAZ,2009,100,7,0.020783077741686116,0.018856154458484636
ME_ABR,USAZ,2010,104,3,0.00744888427792513,0.006980791093787575
ME_ABR,USAZ,2011,102,5,0.012202640195620717,0.009346618638739312
ME_ABR,USAZ,2012,103,4,0.007044049092125985,0.005214794665272346
ME_ABR,USAZ,2013,103,4,0.0111431958011294,0.007857558614907917
ME_ABR,USAZ,2014,105,2,0.009418908708354051,0.009104784811484717
ME_ABR,USAZ,2015,102,5,0.01154233449589511,0.011266238204034384
ME_ABR,USAZ,2016,106,1,0.0021243976978489454,0.0021243976978489454
ME_ABR,USAZ,2017,104,3,0.011024324730852252,0.008096463579639982
ME_ABR,USAZ,2018,103,4,0.009470349598510508,0.007200856843549014
ME_ABR,USAZ,2019,105,2,0.022601359310941458,0.017005559632060907
ME_ABR,USAZ,2020,106,1,0.006378657998430404,0.006378657998430404
ME_ABR,USAZ,2021,106,1,0.008274398222303248,0.008274398222303248
ME_ABR,USAZ,2022,101,6,0.018439929267159833,0.016086433469844074
